# id | additional index example | held-out paraphrase | held-out short input
7-2|这个号码不是您要找的人|您拨错号码啦，这里没有这个人|打错电话啦
7-3|请问您是哪家公司的|您刚说您是谁来着|哪位呀
7-4|我是机主的电话助理，请说明来电事由|您好，智能接听中，请报上您的姓名和联系原因|请说来电事由
7-5|我是他的同事，我帮他接的|他手机在我这里，我是他爱人|我是他家属
7-6|现在可以聊，您讲|这会儿有空，可以跟您说|有空您讲
7-7|现在没法接着聊|这会儿实在不便通话|眼下不便
7-8|我已经把授权办好了|你一打来我就想说，授权早弄好了|早就办完啦
7-9|有什么办法验证您的身份|能提供一个渠道让我查证您是不是官方吗|怎么验真伪
7-10|我的号码是谁给你们的|我没联系过你们，你们从哪儿拿到我的资料的|资料哪来的
7-11|我担心这是骗人的电话|这会不会是冒充招聘的骗局呀|怕是骗子
7-12|为什么来电显示不是正常的公司号码|这个来电号码看着不像正规座机|号码好怪啊
7-13|好几封通知我分不清哪封要填|手机里背调通知有好几条，我不知道该认哪一条|到底是哪封
7-14|怎么一天给我打这么多次|你们今天已经联系好几遍了，太频繁了吧|又打过来了
7-15|听您解释以后我相信了|这样解释我就放心了，可以继续|这下放心啦
7-16|我要先找官方确认这通电话是真的|等我核实过你们的身份，再接着谈|先核实真假
7-17|解释了我也不信，别再联系我|我还是认定你们不可信，以后不要来电了|不信别打了
7-18|我正在方向盘前开车|车还在路上开着，没办法分心听|正开着车呢
7-19|家里有急事我在急诊|我正在医院处理突发情况，现在顾不上|急诊有事
7-20|正忙着开会，稍后联系|领导正在给我们开会，现在没法聊|会议还没完
7-21|电脑不在身边，现在设备没法填|手机上操作不了，得等我回去拿电脑|得用电脑填
7-22|这边声音断断续续听不到|您那头说话一截一截的，我听不清楚|声音断了
7-23|电话先别聊了，把通知发到短信|我可以办，但不要电话讲了，用邮件告诉我|短信通知我吧
7-24|可以，您就简短说一分钟|那我挤一分钟，您只讲最要紧的一件|只讲一分钟啊
7-25|今天下午四点整再打给我|请在明天下午两点半给我回电|明日十五点打
7-26|过两个小时再联系吧|等到后天早上再聊行不行|隔天上午吧
7-27|回头有空我再说吧|我也说不好什么时候，之后再看看|到时候再说
7-28|我不办了，也不要再联系|这件事我拒绝继续，请停止打电话|别联系了
7-29|我还没离职，不能让单位知道|我还在原公司工作，不想被发现正在找新工作|现单位别知道
7-30|上司的联系方式我不方便给|能不能别让我交领导电话号码，我不愿意提供|领导号码不给
7-31|我担心授权后资料会外泄|你们拿到个人信息会不会传给无关的人|隐私怎么保护
7-32|这个岗位我已经决定不去了|我已经拒掉这份录用，不入职了|录用我放弃了
7-33|我要问HR是不是非做这个背调不可|我得跟招聘那边问清楚，入职到底需不需要做这项调查|问问是否必做
7-34|再骚扰我就去投诉你们|你们把我惹火了，我要正式投诉这种骚扰|我要举报投诉
7-35|请换人工来沟通|我不要机器人回答，叫工作人员接电话|转给真人
7-36|通知我看到了，但表还没填|短信已经收到了，我还没有开始填写|收到尚未填
7-37|通知收到后我就提交好了|那封邮件我收到就处理了，授权也已经提交了|收到并办妥了
7-38|短信邮箱都没收到通知|我压根没见过你们发的授权通知|没见到通知
7-39|不记得有没有收到，我先翻一下|我不确定，您等我打开消息查查看|让我翻翻看
7-40|翻垃圾邮件时找到那封了|刚查了一圈，在被拦截的短信里面发现了|拦截里找着了
7-41|垃圾箱和拦截都查了还是没有|我刚把几个文件夹都翻遍了，确实没找着|翻遍也没找到
7-42|事情太多把填写给忘记了|前几天一直忙工作，就把授权这事落下了|忙忘这事了
7-43|我不太会操作那个授权表|我卡在填写操作上，不知道下一步怎么做|操作不会弄
7-44|授权要填的东西太多，我有顾虑|我对要交这么多信息不太愿意，心里有顾虑|不太想授权
7-45|我只填了资料，还没有签名刷脸|信息是写了，电子签和人脸那两项我都没做|电子签没做
7-46|签字刷脸提交都做了，是后台没同步|您说没完成可我每一步都办妥了，应该是你们系统没更新|全做了查系统
7-47|最后的提交按钮我可能忘记点了|我不记得末尾有没有按确认提交，也许漏掉了|提交好像漏了
7-48|可以，我会在明天上午前办完|您说的截止时间可以，我保证那之前填好|按您说的办完
7-49|这个期限太紧我做不到|要我今天就交实在来不及，能不能往后延|这期限太赶
7-50|这几天没空，要到下周才能填|近期都排满了，得等下礼拜我才有时间完成|下星期再完成
7-51|刷脸认证怎么都通过不了|刷脸一直过不了|人脸又失败了
7-52|表已经交了，填错的信息可以修改吗|我刚才填错了能不能改|写错能改不
7-53|授权网页出现系统错误|这个页面打不开|网页报错啦
7-54|填工作经历时一段怎么划分|同一家公司换过岗位，这算一段还是两段经历|经历按啥算
7-55|我不用邮箱，不想提供邮箱地址|没有可以给你们用的电子邮箱|邮箱不想给
7-56|用我的邮箱candidate@example.com接收吧|可以登记我的邮箱demo@example.org，通知发那里|邮箱demo@example.net
7-57|同意你们找其他同事核实|可以通过公司官方渠道另找在职同事了解情况|找其他同事可以
7-58|你们这么找同事会暴露我准备离职|去问在职同事，他们会发现我在外面面试，我很担心|同事会发现啊
7-59|只联系我提供的人，不允许另外找|请只用我列的证明人名单，别自行寻访其他员工|仅用我给的人
